smiles,hit0,hit1
[H]c1[nH]c2c([H])c([H])c3nc(C([H])([H])[H])n(C([H])([H])C([H])([H])C(=O)N([H])[H])c3c2c1C([H])([H])N(C([H])([H])[H])C([H])([H])[H],A0229a,A0503a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@]2(c3c([nH]c([H])c3C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])OC([H])([H])[H])C([H])([H])C1([H])[H],A0229a,A0759a
[H]C1N[C@@H]2C([H])C([H])C3NC(C([H])([H])[H])N(C([H])([H])C([H])([H])C(=O)N([H])[H])C3[C@H]2C1C([H])([H])N(C([H])([H])[H])C([H])([H])[H],A0503a,A0229a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])n1c(C([H])([H])[H])nc2c([H])c([H])c([H])c([H])c21,A0503a,A0759a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])c([H])c2c(c1[H])O[C@]1(N2OC([H])([H])[H])N([H])C([H])([H])[C@]([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C1([H])[H],A0759a,A0229a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])[C@](O)(c1c([H])c2c(c(C([H])([H])[H])c1[H])OC([H])([H])O2)C([H])([H])[H],A0759a,A0503a
